attribute,data_type
CMTE_ID,VARCHAR2(9)
CMTE_NM,VARCHAR2(200)
TRES_NM,VARCHAR2(90)
CMTE_ST1,VARCHAR2(34)
CMTE_ST2,VARCHAR2(34)
CMTE_CITY,VARCHAR2(30)
CMTE_ST,VARCHAR2(2)
CMTE_ZIP,VARCHAR2(9)
CMTE_DSGN,VARCHAR2(1)
CMTE_TP,VARCHAR2(1)
CMTE_PTY_AFFILIATION,VARCHAR2(3)
CMTE_FILING_FREQ,VARCHAR2(1)
ORG_TP,VARCHAR2(1)
CONNECTED_ORG_NM,VARCHAR2(200)
CAND_ID,VARCHAR2(9)
