attribute,data_type
CAND_ID,VARCHAR2(9)
CAND_ELECTION_YR,NUMBER(4)
FEC_ELECTION_YR,NUMBER(4)
CMTE_ID,VARCHAR2(9)
CMTE_TP,VARCHAR2(1)
CMTE_DSGN,VARCHAR2(1)
LINKAGE_ID,NUMBER(12)
